Source,Target,Label,Id,Type
tallahassee," more than 15,000 pounds", weighed,606,
agency, exact price, included in,607,
emails, scope, indicated,608,
office nurse, one of the most extreme reactions, had,609,
gsa, tests, noted,610,
officials, criminal investigation, launched,611,
martin, academic appointments, holds,612,
bill, vote, require,613,
congressman steve pearce, following statement, issued,614,
congressman pearce, resolution, introduced,615,
justice department, real estate, targeting,616,
low assets, 380 million stake, include,617,
hakkasan chief executive officer neil moffitt, u.s, fighting,618,
tom montagliano montagliano, giant," "" photo credit",619,
members, blue dog painting, found,620,
print, ali, shows,621,
nazis, valuable belongings, stole,622,
art crimes expert robert k. wittman, new book, published,623,
wittman, wittman book, penned,624,
paintings, conservation, the hv/ac needed upgrades,625,
collection, philadelphia, made for,626,
wittman, collection, valued,627,
wittman, total global art market, estimates,628,
art crimes, roughly $6 billion, represent,629,
u.s sports markets, $26 billion, total,630,
"(""one of wittmans recent clients""","300,000 worth", bought,631,
art dealer, glass, resold,632,
house, proposed law, approved,633,
armenians, thing, tell,634,
laws, situation, contemplate,635,
leon zinder, works, stole,636,
december 2 - carabinieri art police, a second century marble head, recovered,637,
31-centimeter head, value, estimated,638,
dutch authorities, a second century marble head, handed,639,
geneva prosecutor office, nine cultural artifacts, confiscated,640,
news, attention, attracted,641,
workers, one partially buried body, discovered,642,
lucrative black market, widespread theft, fueled,643,
nawabs, riyasat, ruled,644,
latest scion nawab ali, latest scion nawab ali loyalty, shifted,645,
acrimony, news, makes,646,
alton hoard, gold ring, included,647,
peter beasley, ancient relics, found,648,
discovery, normal procedure, followed,649,
academics, praise, bland,650,
finders," £103,000 valuation", split,651,
subsequent sales, alton examples, exceeded,652,
"(""beasleys informal appeal""", results, produce,653,
art institutions, 11 sculptures, returned,654,
political uncertainty, illicit access, enabled,655,
result, sandstone sculptures, presents,656,
jim sanborn, fake sculptures, sanborn,657,
master craftsmen, known sculptures, copy,658,
jim, intentionally broken fake angkorian sculpture, sanborn,659,
group, ancient native american ruins, defaced,660,
turkish government, ownership, claimed,661,
advertising inread, stacey, told,662,
officials, 70 coins, recovered,663,
officials, 29 coins, recovered,664,
john kerry, landmark bilateral memorandum, sign,665,
u.s, bilateral agreements, has,666,
media representatives, event, attend,667,
employer, official government photo identification card, present,668,
abu dhabi conference, heads, host,669,
demand, illicit trade, created,670,
abdel, sisi, fattah,671,
jewellery, bedroom, wrecked,672,
draft, value, mention,673,
united nations educational scientific cultural organization, safeguarding operations, oversee,674,
hollande, louvre abu dhabi, visited,675,
un cultural organisation unesco, damage, condemned,676,
taliban militants, huge buddhas, destroyed,677,
curators, aerial photograph, affixed,678,
wakils, aleppo room, based as,679,
belfast, clusters, and museums,680,
london, london wren churches, protect,681,
sheen, first-time collectors, attracts,682,
domestic trade, special licence, forbidden,683,
central government, objects, acquire,684,
infamous case, spotlight, shone,685,
cataloguing process, scholarship, permits,686,
kavita singh, perceptible decline, identifies,687,
vijay kumar, picture, reported in,688,
agnsw, thorough investigation, launched,689,
steady stream, local residents, provided,690,
al mahdi, attacks, ordered,691,
icc, al mahdi, sentenced,692,
al mahdi verdict, 2012 mali conflict, transcended,693,
al mahdi verdict, hope, offered,694,
war, precedent, established,695,
present day oppressors, distinction, see,696,
helen, deputy director, walasek,697,
indictment, jubilation, prompted,698,
rome statute, direct protection, gave,699,
maurice, the 19th century artwork, mentioned,700,
unclaimed mnr art, works, includes,701,
genealogists searches, genealogists, said,702,
art piece, dramatic story, has,703,
arizona art museum, painting, wants,704,
arizona art museum, frame, puts on,705,
visitors, marks, see,706,
treves, responses, likened,707,
dutch treasure house, dutch treasure house, buying,708,
writer, lack, sees,709,
writer, some three dozen self-portraits, executed,710,
corre, fire, set,711,
dame vivienne, crowd, told,712,
fire engines, corre protest, attended,713,
london based art gallery, painting, sold,714,
listing, england special important buildings, identifies,715,
austin artist chuck voelter, goodbye, said,716,
artist, american indian artist art, sold,717,
alleged copy, instagram, courtesy,718,
dispute, compelling view, offers,719,
rybolovlev, mr, accused,720,
rybolovlev family trust, nearly $2 billion, paid,721,
rybolovlev, criminal charges, leveled,722,
rybolovlev," ""sothebyss role""", questioned,723,
rybolovlev, issue, took,724,
spokesman, comment, declined,725,
meeting, place, took,726,
nazi german government, massive amounts, stole,727,
citizens, property, stolen,728,
hear act, year federal statute, establishes,729,
plainclothes officer, activist mother, informed,730,
taylor, shanghai, told,731,
"(""christies""", bronze cast, offering,732,
artist, pose, made in,733,
hamilton success, hamilton, led,734,
hamilton, desires, poses with,735,
work, hamilton accusations, brought,736,
highsmith, gross misuse, alleged,737,
highsmith, damages, claiming,738,
highsmith, highsmith images, donated,739,
beth tonkinson, thefts, reported,740,
police burglary detectives, search warrant, seized,741,
detectives, information, seeking,742,
geneva free port new boss, customs, like,743,
librarians, deep appreciation, afflicted with,744,
people, bibliomania, feared,745,
story," ""fern{\\a}ndez""", explains,746,
original woodcut, vain book collector, shows,747,
characters, uncanny resemblances, have,748,
collecting, sir phillipps family, landed,749,
contemporary scholars, bibliomania, linked,750,
scotland, date, made,751,
king edward, stone, returned,752,
stone, stone long journey, began,753,
police, heavy piece, find,754,
authorities, importer, repatriated,755,
mummy hand, intricately painted ancient sarcophagi, returned,756,
operation," about 7,000 artifacts", recovered,757,
john kerry, agreement, signed,758,
tomb raiders, history, featured in,759,
antiquities dealer khouli, up to 200 hours, indicted in,760,
picture, ancient egyptian gilded mummy mask, images,761,
u.s, two unilateral emergency import restrictions, has,762,
egyptian ambassador yasser reda, department, thanked,763,
people, diver, detected,764,
haggerty, daily inquires," ""haggertys makeup artist brand""",765,
wallberg, news agency, told,766,
"(""swedens straw yule goat""", sweden straw yule goat, has,767,
local municipality, 2.3 million kronor, spent,768,
defendant, cheap christmas decoration, left,769,
apilats, theft, denies,770,
chandannath temple, idols, had,771,
police, mauleshwor, detained,772,
police team, district, reached,773,
petitioner, written complaint, gave,774,
shanmugasundaram, serial, published,775,
police, idol wing cid, arrested,776,
samuel p. harn museum,"75,000 sculpture", purchased,777,
pieces,"31,500", totaled,778,
harn collection management policy, guidelines, follows,779,
indian authorities, father, arrested,780,
idol wing, incredibly important previously unidentified nataraja, recovered,781,
u.s department," ""67 attach{\\e} offices""", has,782,
cna, end, await,783,
protective silhouettes, protective silhouettes, considered to,784,
police, more than 100 antique idols, seized,785,
