subject,relation,object,subject_type,object_type
native americans,yield,native americans rights,NOUN_CHUNK,NORP
repatriation,spell,end,NOUN_CHUNK,NOUN_CHUNK
some 200 tlingit,offered,some 200 tlingit dna,CARDINAL,CARDINAL
pediatricians,handing out,books,NOUN_CHUNK,NOUN_CHUNK
scientists,begin,truce,NOUN_CHUNK,NOUN_CHUNK
cash strapped west yorkshire council,sold at,potential,NOUN_CHUNK,NOUN_CHUNK
times current auction prices,estimated,value,NOUN_CHUNK,NOUN_CHUNK
northampton borough council,accused of,ancient egyptian statue,GPE,NOUN_CHUNK
members,examine,northampton sekhemka,NOUN_CHUNK,NOUN_CHUNK
public gallery staff,examine,northampton sekhemka,NOUN_CHUNK,NOUN_CHUNK
barack obama,used,law,NOUN_CHUNK,NOUN_CHUNK
europe wide police operation,recovered,"more than 3,500 stolen artworks",NOUN_CHUNK,CARDINAL
recovered items,included,marble tombstone,NOUN_CHUNK,NOUN_CHUNK
coin collector board,shows,40 coins,NOUN_CHUNK,CARDINAL
europe wide police operation,took,place,NOUN_CHUNK,NOUN_CHUNK
interpol,europol co-ordinated efforts,interpol database,NOUN_CHUNK,NOUN_CHUNK
world customs organisation,contributed,world customs organisation,NOUN_CHUNK,NOUN_CHUNK
national trust,included,portraits,NOUN_CHUNK,NOUN_CHUNK
legendary beast jesus restoration,recommended,legendary beast jesus dedicated arts center,NOUN_CHUNK,NOUN_CHUNK
david,contemplating,head,NOUN_CHUNK,NOUN_CHUNK
peter doige,courtesy,aris title @aris_argogroup,NOUN_CHUNK,NOUN_CHUNK
militants fanaticism,devastated,one of the most important archaeological sites in the middle east,NOUN_CHUNK,CARDINAL
iraqi archaeologist,examines,remains,NOUN_CHUNK,NOUN_CHUNK
140-foot high ziggurat,arrested,gaze,NOUN_CHUNK,NOUN_CHUNK
militants,dismantled,winged bulls,NOUN_CHUNK,NOUN_CHUNK
tombs,yielded,troves,NOUN_CHUNK,NOUN_CHUNK
government,has,priorities,NOUN_CHUNK,NOUN_CHUNK
salih,questioned,two shiite militiamen,PERSON,CARDINAL
artefacts,include,persian manuscript,NOUN_CHUNK,NOUN_CHUNK
detectives,recovered,stolen items,NOUN_CHUNK,NOUN_CHUNK
memo,described,object,NOUN_CHUNK,NOUN_CHUNK
memo,said,memo,NOUN_CHUNK,NOUN_CHUNK
\'o,described,object,NOUN_CHUNK,NOUN_CHUNK
levitan,completed,"about 1,000 paintings",NOUN_CHUNK,CARDINAL
judge,abused,judge,NOUN_CHUNK,NOUN_CHUNK
lord elgin,transported,parthenon sculptures,NOUN_CHUNK,NOUN_CHUNK
artist,painted,bathroom walls,NOUN_CHUNK,NOUN_CHUNK
montreal mural festival,commissioned,major work,NOUN_CHUNK,NOUN_CHUNK
people,'s,bonfire,NOUN_CHUNK,NOUN_CHUNK
idea,takes on,different meaning,NOUN_CHUNK,NOUN_CHUNK
zilon,painted,backdrop,NOUN_CHUNK,NOUN_CHUNK
district,owns,"more than $709,000 worth",NOUN_CHUNK,MONEY
district,weighing,district options,NOUN_CHUNK,NOUN_CHUNK
bedford old bedford village,gained,national attention,NOUN_CHUNK,NOUN_CHUNK
post,making,post way,NOUN_CHUNK,NOUN_CHUNK
obama,set,gold butte national monument,NOUN_CHUNK,NOUN_CHUNK
gold butte,includes,abundant rock art,NOUN_CHUNK,NOUN_CHUNK
orrin hatch,called,obama declaration,NOUN_CHUNK,NOUN_CHUNK
attack,exceeds,intent,NOUN_CHUNK,NOUN_CHUNK
inter - tribal coalition,applauded,wednesday's announcement,NOUN_CHUNK,DATE
residents,opposed,monument push,NOUN_CHUNK,NOUN_CHUNK
27-million acre network,includes,monuments,NOUN_CHUNK,NOUN_CHUNK
monument designation,rankles,southern utahns,NOUN_CHUNK,NOUN_CHUNK
sitla,awarded,roughly $50 million,NOUN_CHUNK,MONEY
peruvian embassy,recovered,eight peruvian pre-hispanic relics,NOUN_CHUNK,CARDINAL
recovery,reflects,importance,NOUN_CHUNK,NOUN_CHUNK
parents,recognise,parents children,NOUN_CHUNK,NOUN_CHUNK
weighty forgery scandals,swept,korean art world,NOUN_CHUNK,NOUN_CHUNK
prosecution,puts,end,NOUN_CHUNK,NOUN_CHUNK
state,represents,complete collection,NOUN_CHUNK,NOUN_CHUNK
abbey,housed,female religious order,NOUN_CHUNK,NOUN_CHUNK
peter beer,dismissed,speculation,NOUN_CHUNK,NOUN_CHUNK
munich freising vicar general msgr,told,ap,NOUN_CHUNK,NOUN_CHUNK
nepal police,found,new lead,NOUN_CHUNK,NOUN_CHUNK
arrested man,pointed out,involvement,NOUN_CHUNK,NOUN_CHUNK
police,intensified,manhunt,NOUN_CHUNK,NOUN_CHUNK
temple,had,statues,NOUN_CHUNK,NOUN_CHUNK
police,registered,case,NOUN_CHUNK,NOUN_CHUNK
manickavel,told,hindu,NOUN_CHUNK,NOUN_CHUNK
cib team,arrested,sudan ratna shakya,NOUN_CHUNK,NOUN_CHUNK
police,arrested,bilaxmi sedhai,NOUN_CHUNK,NOUN_CHUNK
police,arrested,kalu lama,NOUN_CHUNK,PERSON
jean paul,studied,law,NOUN_CHUNK,NOUN_CHUNK
family foundation,organises,numerous loan exhibitions,NOUN_CHUNK,NOUN_CHUNK
painter sculptor lee ufan,created,variety,NOUN_CHUNK,NOUN_CHUNK
gallery,sold,gallery,NOUN_CHUNK,NOUN_CHUNK
owners,checking,owners,NOUN_CHUNK,NOUN_CHUNK
2016 lucas,cranach,elder,DATE,NOUN_CHUNK
2016 lucas,cranach,elder,DATE,NOUN_CHUNK
photo,courtesy,multnomah county sheriff office,NOUN_CHUNK,NOUN_CHUNK
royal museums,comprise,six locations,NOUN_CHUNK,CARDINAL
latest development,brought,max,NOUN_CHUNK,NOUN_CHUNK
crescent city,had,crescent city share,NOUN_CHUNK,NOUN_CHUNK
latest alleged incident,been among,hefty line,NOUN_CHUNK,NOUN_CHUNK
lether,rented,guesthouse,NOUN_CHUNK,NOUN_CHUNK
aspiring art collector,found,aspiring art collector,NOUN_CHUNK,NOUN_CHUNK
opportunistic outlaw,removed,"250,000 painting",NOUN_CHUNK,NOUN_CHUNK
sensabaugh,erected,plywood wall,NOUN_CHUNK,NOUN_CHUNK
umbrella girl,continues,umbrella girl,NOUN_CHUNK,NOUN_CHUNK
egypt's ministry,received from,limestone relief,GPE,NOUN_CHUNK
abdel-gawad,told,ahram,PERSON,NOUN_CHUNK
hsi agents,seized,child sarcophagus,NOUN_CHUNK,NOUN_CHUNK
agents,returned,panel,NOUN_CHUNK,NOUN_CHUNK
ray,oversees,cultural property art antiquities program,NOUN_CHUNK,NOUN_CHUNK
team,investigates,theft,NOUN_CHUNK,NOUN_CHUNK
ice,returned,"almost 8,000 items",NOUN_CHUNK,CARDINAL
agents work,led to,two criminal convictions,NOUN_CHUNK,CARDINAL
looters,a fragment of,layering,NOUN_CHUNK,NOUN_CHUNK
print,shows,ufc fighter conor mcgregor,NOUN_CHUNK,NOUN_CHUNK
actress,aoibheann,mccaul,NOUN_CHUNK,NOUN_CHUNK
rory o'neill,received,nasty mail,PERSON,NOUN_CHUNK
hildesheimer,committed,suicide,NOUN_CHUNK,NOUN_CHUNK
bill,transfers,skeleton,NOUN_CHUNK,NOUN_CHUNK
national commission,have,office,NOUN_CHUNK,NOUN_CHUNK
klaas muller,bought,work,NOUN_CHUNK,NOUN_CHUNK
katharine cree,is,jacobean architecture,NOUN_CHUNK,NOUN_CHUNK
1929 photograph,""" a 1793 engraving",throckmorton monument,NOUN_CHUNK,NOUN_CHUNK
history,repeating,history,NOUN_CHUNK,NOUN_CHUNK
ukrainian president,treasures of,tribute,NOUN_CHUNK,NOUN_CHUNK
diplomatic bureaucracy,delayed,official handover,NOUN_CHUNK,NOUN_CHUNK
court,sentenced,four of the 12 suspects for the theft to prison terms of five to ten years on 5 december,NOUN_CHUNK,CARDINAL
two other suspects,received,reduced sentences,CARDINAL,NOUN_CHUNK
beth,labson,freeman,NOUN_CHUNK,NOUN_CHUNK
plea deal,put,total value,NOUN_CHUNK,NOUN_CHUNK
french laundry case,involved,prized bottles,NOUN_CHUNK,NOUN_CHUNK
video duration 00:37 stars,mourn,george michael,NOUN_CHUNK,NOUN_CHUNK
public,do,unpredictable things,NOUN_CHUNK,NOUN_CHUNK
clumsy caterer,broke,thumb,NOUN_CHUNK,NOUN_CHUNK
clumsy caterer,broke,thumb,NOUN_CHUNK,NOUN_CHUNK
british caterer,knocked,thumb,NOUN_CHUNK,NOUN_CHUNK
brazilian tourist,toppled,300-year old statue,NOUN_CHUNK,NOUN_CHUNK
artist,performs,live art,NOUN_CHUNK,NOUN_CHUNK
artist,performs,live art,NOUN_CHUNK,NOUN_CHUNK
denver art goer,blamed,denver art goer behaviour,NOUN_CHUNK,NOUN_CHUNK
man,staged,protest,NOUN_CHUNK,NOUN_CHUNK
ricky mcconnell,pulled off,stunt,NOUN_CHUNK,NOUN_CHUNK
mcavoy,met,john,NOUN_CHUNK,PERSON
2009 trinca,dedicated,brick,DATE,NOUN_CHUNK
thomas bateman jr,trinca,thomas bateman jr,PERSON,PERSON
fike,got,phone,NOUN_CHUNK,NOUN_CHUNK
giunta,received,medal,PERSON,NOUN_CHUNK
clarence,hartzell,fike grandfather,NOUN_CHUNK,NOUN_CHUNK
bruce klein,found,number,NOUN_CHUNK,NOUN_CHUNK
fike,contained,dog tags,NOUN_CHUNK,NOUN_CHUNK
family,received,mysterious letter,NOUN_CHUNK,NOUN_CHUNK
sylvia,received,reply,NOUN_CHUNK,NOUN_CHUNK
boys,tell,kinds,NOUN_CHUNK,NOUN_CHUNK
watson,heard,report,ORG,NOUN_CHUNK
watson,sent,items,NOUN_CHUNK,NOUN_CHUNK
fike,buy,fike,NOUN_CHUNK,NOUN_CHUNK
heart fike,reconnects,medal,NOUN_CHUNK,NOUN_CHUNK
tribes,call,kennewick man,NOUN_CHUNK,NOUN_CHUNK
new law,hand,bones,NOUN_CHUNK,NOUN_CHUNK
land,making,wonderful sound,NOUN_CHUNK,NOUN_CHUNK
gold light,making,wonderful sound,NOUN_CHUNK,NOUN_CHUNK
footage,showed,man,NOUN_CHUNK,NOUN_CHUNK
turkish special forces,killed by,gallery,NOUN_CHUNK,NOUN_CHUNK
turkish interior ministry,named,attacker,NOUN_CHUNK,NOUN_CHUNK
killing,throws into,ongoing evacuation deal,NOUN_CHUNK,NOUN_CHUNK
g}lu,insisted,\c c}avu{\c,NOUN_CHUNK,NOUN_CHUNK
turkish police,secure,area,NORP,NOUN_CHUNK
turkish police,secure,area,NORP,NOUN_CHUNK
g}lu career,saw,fantastic highs,ORG,NOUN_CHUNK
russian actions,angered,turks,NOUN_CHUNK,NOUN_CHUNK
bullet,aims,turkish russian relation,NOUN_CHUNK,NOUN_CHUNK
cost,included,looting,NOUN_CHUNK,NOUN_CHUNK
story,includes,fortuitous discovery,NOUN_CHUNK,NOUN_CHUNK
dublin artist,received,potential lead,NOUN_CHUNK,NOUN_CHUNK
mr,expressed,mr,NOUN_CHUNK,NOUN_CHUNK
gun aficionados,admire,rifles,NOUN_CHUNK,NOUN_CHUNK
original gunsmiths kids,handcrafted by,craft,NOUN_CHUNK,NOUN_CHUNK
police,narrowed,time,NOUN_CHUNK,NOUN_CHUNK
volunteers,announced,reward fund,NOUN_CHUNK,NOUN_CHUNK
wessner,deferred,inquiries,NOUN_CHUNK,NOUN_CHUNK
15th century ghent altarpiece,has at,adoration,NOUN_CHUNK,NOUN_CHUNK
breast wound,is,blood,NOUN_CHUNK,NOUN_CHUNK
altarpiece,has,dark,NOUN_CHUNK,NOUN_CHUNK
scientists,bombard,painting,NOUN_CHUNK,NOUN_CHUNK
flemish government,allocated,budget,NOUN_CHUNK,NOUN_CHUNK
pascale fraiture,examined,panels,NOUN_CHUNK,NOUN_CHUNK
provost,bavo,cathedral ghent,NOUN_CHUNK,NOUN_CHUNK
van wakeren,had,ronald van wakeren's application,NOUN_CHUNK,PERSON
findings,contradict,french image analysis firm lumiere technology conclusion,NOUN_CHUNK,NOUN_CHUNK
renowned paintings,include,mode,NOUN_CHUNK,NOUN_CHUNK
apollo 11 mission astronauts,collected,47.5 pounds,NOUN_CHUNK,QUANTITY
carlson,discovered after,bag history,ORG,NOUN_CHUNK
carlson,filed,motion,ORG,NOUN_CHUNK
noorsarai police,arrested,one kamlesh yadav,NOUN_CHUNK,CARDINAL
worshippers,traced to,andhra pradesh,NOUN_CHUNK,NOUN_CHUNK
australian arts minister mitch fifield,handed over,artefacts,NOUN_CHUNK,NOUN_CHUNK
notorious antique smuggler vaman ghiya,shook,foundation,NOUN_CHUNK,NOUN_CHUNK
shady network,sprung,new arms,NOUN_CHUNK,NOUN_CHUNK
chargesheet,names,prominent hitherto unknown indian smuggler,NOUN_CHUNK,NOUN_CHUNK
thieves,took,itemthe national maritime museum,NOUN_CHUNK,NOUN_CHUNK
iraqi security personnel,seized,unique kuwaiti ancient manuscript,NOUN_CHUNK,NOUN_CHUNK
freshlyestablished security team,lured,relics trader,NOUN_CHUNK,NOUN_CHUNK
piece,bears,stamp,NOUN_CHUNK,NOUN_CHUNK
wiener,bought,bronze buddha,NOUN_CHUNK,NOUN_CHUNK
email address,enter,email address,NOUN_CHUNK,NOUN_CHUNK
high profile new york art dealer,sold,illicit asian objects,NOUN_CHUNK,NOUN_CHUNK
wiener,purchased,an 11th century baphuon shiva,NOUN_CHUNK,DATE
one of the more high-profile transactions,involved,sale,CARDINAL,NOUN_CHUNK
doris daughter,removed,records,PERSON,NOUN_CHUNK
mother doris wiener,provided,false documentation,NOUN_CHUNK,NOUN_CHUNK
wiener,bought,bronze buddha,NOUN_CHUNK,NOUN_CHUNK
three armed robbers,stolen in,castelvecchio museum,CARDINAL,NOUN_CHUNK
particular sale,features,239 artifacts,NOUN_CHUNK,CARDINAL
tribes,seek,return,NOUN_CHUNK,NOUN_CHUNK
1923 stuart,secured,lease,DATE,NOUN_CHUNK
doc stuart,found,human remains,NOUN_CHUNK,NOUN_CHUNK
accompanying description,lists,estimated value,NOUN_CHUNK,NOUN_CHUNK
president petro poroshenko,conveyed,17 paintings,NOUN_CHUNK,CARDINAL
people,include,guard,NOUN_CHUNK,NOUN_CHUNK
two thieves,targeted,golden associates antiques,CARDINAL,NOUN_CHUNK
video surveillance,shows,couple,NOUN_CHUNK,NOUN_CHUNK
store,reviewing,store policies,NOUN_CHUNK,NOUN_CHUNK
young artists,wish for,young artists,NOUN_CHUNK,NOUN_CHUNK
patna based jain sangh president,expressed,shock,NOUN_CHUNK,NOUN_CHUNK
police,identified,miscreants,NOUN_CHUNK,NOUN_CHUNK
nazis,taken to,family members gallery,NOUN_CHUNK,NOUN_CHUNK
masha mcconaghy,imagined,masha,NOUN_CHUNK,NOUN_CHUNK
blockchain,presents,solution,NOUN_CHUNK,NOUN_CHUNK
